sentence	prediction	true label
happy	1	0
give one look	0	1
phone unusable new	1	0
shrimp tender moist	0	1
bars vegas ever recall charged tap water	1	0
got phone reccomendation relative 'm glad	0	1
camera although rated impressive megapixels renders images fall well expectations relatively high resolution	1	0
first n't wear well	1	0
'll looking new earpiece	1	0
place worth time let alone vegas	1	0
story starts fast absolutely suspense build-up slightest	1	0
helen baxendale credible lady macbeth cheerfull times sometimes looks like naughty girl deadly taste blood evil	0	1
applause given prelude however	0	1
movie really dislike	1	0
appears actually outperform original battery china came v325i	0	1
ever movie needed word-of-mouth promote	0	1
's national treasure	0	1
would recommend	0	1
worth drive	0	1
've bluetoooth headset time still comfortable way fits ear	1	0
greek dressing creamy flavorful	0	1
ca n't beat	0	1
impressed price cases	0	1
sushi strip place go	0	1
find better movies youtube	1	0
everyone treated equally special	0	1
good money	1	0
film redeeming features	1	0
rest movie lacks art charm meaning 's emptiness works guess 's empty	1	0
placed treo case snug lot extra room sides	1	0
know gave	0	1
would give television series plus could	0	1
ray charles legendary	0	1
rate film stinks funny fulci stayed giallo supernatural zombie movies	1	0
complaints	0	1
score mostly plot	0	1
always cuts makes beep beep beep sound says signal failed	1	0
anyways food definitely filling price pay expect	1	0
plethora salads sandwiches everything 've tried gets seal approval	0	1
plus 's bucks	0	1
short film certainly pulls punches	1	0
could eat bruschetta day devine	0	1
possible give zero stars 'd	1	0
wanted	0	1
ngage still lacking earbuds	1	0
one favorite purchases ever	0	1
educational children years old	0	1
film way long	1	0
black water thriller manages completely transcend 's limitations 's indie flick continually subverting expectations emerge intense experience	0	1
much better hard plastic cases	0	1
veggitarian platter world	0	1
phone thorn side really abhor	1	0
recommended	1	0
burgers n't good pizza used amazing doughy flavorless	1	0
however-the riingtones best neither games	1	0
allergy warnings menu waitress absolutely clue meals contain peanuts	1	0
n't afraid subtitles worth little aversion therapy	0	1
due happening every call forced stop using headset	1	0
story also funny poignant times	0	1
group claimed would handled us beautifully	0	1
tired clichã©s lazy writing come thick fast	1	0
see	0	1
think robert ryans best film portrayed someone like father schizophrenic real life father although never murdered anyone affected second world war made worse	0	1
around pm bought around 8pm started watch around 8.15pm fast forwarded remaining film see anything left watchable human brain n't	1	0
keep watching	0	1
beans rice mediocre best	1	0
imagine every single one decisions made wrong	1	0
monster chicken fried steak eggs time favorite	0	1
handles tough issues dignity grace course shocking spoiler	0	1
none new ones ever quite worked properly	1	0
bought nokia cell phone weeks ago nightmare	1	0
cute quaint simple honest	0	1
back many times soon	0	1
anyway plot flowed smoothly male-bonding scenes hoot	0	1
northern humour positive community represents	0	1
cooked perfection service impeccable	0	1
fiancã© came middle day greeted seated right away	0	1
ca n't wait go back	0	1
croutons also taste homemade extra plus	0	1
convenient since staying mgm	0	1
satisifed	0	1
recommend waiting future efforts let one go	1	0
deeply impressed character played	0	1
good bargain	1	0
small n't even realize getting used	0	1
lordy khao soi dish missed curry lovers	0	1
dont think back long time	1	0
director neil labute uses brutal violence seperate dreams reality along touching drama hilarious comedy never tell going happen next	0	1
'm big fan series mostly due anne rice 's style sensitivities treatments	0	1
lame would best way describe	1	0
good	1	0
scallop dish quite appalling value well	1	0
mic joke volume quite low	1	0
totally believable	0	1
warm feeling service felt like guest special treat	0	1
think one people found another one roth 's pearls	0	1
get extra minutes carry call get cut	0	1
atmosphere modern hip maintaining touch coziness	0	1
movie makes lot serious mistakes	1	0
thumbs	0	1
mother brother saw robert ryan portraying type man good imitation type individual impressed	0	1
seriously solid breakfast	0	1
used two days n't always easy hear	1	0
hilarious yummy christmas eve dinner remember biggest fail entire trip us	1	0
would recommend	0	1
plastic breaks really easy clip	1	0
addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen	0	1
clicks place way makes wonder long mechanism would last	1	0
advise look	0	1
'm sure long stood long enough begin feel awkwardly place	1	0
're familiar check	0	1
glad found place	0	1
hope place sticks around	0	1
guys steaks steak loving son steak best worst places said best steak 's ever eaten	0	1
nothing short magnificent photography/cinematography film	0	1
plugged find darn thing worked	1	0
yet enjoy watching	0	1
folks otto always make us feel welcome special	0	1
ca n't beat price	0	1
unusable moving car freeway speed	1	0
go place gyros	0	1
back	0	1
months screen went black sudden	1	0
'll regular stop trips phoenix	0	1
lighting dark enough set mood	0	1
ambiance n't much better	1	0
little device transformed organizational capability made life whole lot easier	0	1
results well shame	1	0
omg felt like never eaten thai food dish	0	1
want healthy authentic ethic food try place	0	1
n't last long	1	0
first time going think quickly become regular	0	1
place good film garbage	1	0
time side restaurant almost empty excuse	1	0
even sweet moments	0	1
pale color instead nice char flavor	1	0
makes easier keep bluetooth 'm wearing	1	0
received pita huge lot meat thumbs	0	1
humour get get day apt	0	1
song could explain emotions subjects better jay adams unfortunate life subject talk song old man neil young played evokes many emotions	0	1
makes strange ticking noises ends call	1	0
anne heche utterly convincing	0	1
every element story top excessively phony contrived painful sit	1	0
also 's real treat see anthony quinn playing crazy horse	0	1
long whiny pointless	1	0
staff attentive	0	1
special thanks dylan t. recommendation order yummy tummy	0	1
movie-making	1	0
say desserts yummy	0	1
back good bbq lighter fare reasonable pricing tell public back old ways	0	1
always used corded headsets freedom wireless helpful	0	1
ha long bay bit flop	1	0
cashier friendly even brought food	0	1
'm glad found product amazon hard find n't high priced	0	1
accents absolutely abysmal	1	0
phone fast sending kind messages web browsing significantly faster previous phones used	0	1
tried talking real loud shouting telephone gets old still told n't great	1	0
three different occasions asked well done medium well three times got bloodiest piece meat plate	1	0
owner used work nobu place really similar half price	0	1
film 's dialogue natural real life	0	1
's barely boring moment film plenty humorous parts	0	1
punishment park brilliant piece cinema	0	1
plan ordering	0	1
check	0	1
shifting bubbling peeling even scratch nothing could n't happier new one droid	0	1
sam shepard 's portrayal gung ho marine sobering	0	1
'll definitely soon	0	1
impressed going original battery extended battery	0	1
done second movie	1	0
unfortunately good	1	0
battery life still long enough motorola razor v3i	1	0
20th century fox 's road house quite silly noir implausible unmitigated bore movie	1	0
light weight hardly notice	0	1
would even good made tv flick	1	0
internet access fine rare instance worked	1	0
omelets die	0	1
always pleasure dealing	0	1
n't single sour note struck acting-wise either surprisingly solid casting	0	1
seated immediately	0	1
looking good quality motorola headset keep looking n't	1	0
dissapointing performance	1	0
well would 've given godfathers zero stars possible	1	0
phenomenal food service ambiance	0	1
today first taste buldogis gourmet hot dog tell ever thought possible	0	1
even take self portraits outside exterior display cool	0	1
delete film mind	1	0
